97,265,294
114,164,255
164,114,91
133,237,58
180,194,4
227,80,24
222,33,118
80,96,24
96,110,24
93,130,192
17,227,215
227,17,80
198,219,260
49,82,183
35,238,120
117,280,27
280,117,199
30,29,173
109,237,292
198,60,196
174,157,58
157,174,171
157,171,165
164,244,255
3,164,91
124,133,58
157,124,58
124,157,181
206,114,255
124,141,133
141,124,181
159,296,181
296,141,181
141,296,298
194,7,209
7,276,209
276,7,98
2,261,165
261,262,165
262,261,192
161,149,127
143,149,47
149,94,47
94,149,161
214,2,165
171,214,165
278,117,27
299,143,47
143,299,201
48,94,161
48,161,183
82,48,183
129,93,192
261,129,192
184,139,25
184,227,24
110,178,24
178,184,24
184,178,139
139,297,25
25,297,240
223,256,118
297,256,240
256,222,118
223,212,68
278,212,115
212,278,68
33,166,106
166,85,106
222,166,33
96,122,110
110,122,282
123,122,193
122,123,282
228,96,80
288,155,246
153,288,246
267,77,61
77,267,135
218,296,159
229,17,215
300,276,98
276,300,217
95,112,215
227,95,215
95,184,25
184,95,227
189,112,235
189,147,19
147,189,235
26,223,68
248,111,148
111,133,148
133,111,237
237,111,292
144,169,292
111,144,292
144,111,248
169,144,294
144,248,97
144,97,294
89,248,148
248,89,97
195,206,255
206,195,298
265,63,294
289,63,265
63,289,210
210,167,64
219,116,260
49,225,50
225,49,183
42,238,78
238,42,120
37,30,173
30,37,87
140,236,203
140,26,68
136,236,27
136,280,179
280,136,27
208,35,199
117,208,199
280,28,179
28,280,199
29,163,23
163,29,30
69,137,277
137,69,12
259,69,13
182,217,12
69,182,12
182,69,259
182,259,8
59,109,292
169,59,292
59,150,109
150,59,260
116,150,260
150,116,70
242,169,294
60,191,196
191,88,66
150,186,109
186,150,70
186,174,58
109,186,237
237,186,58
273,70,127
273,186,70
186,273,174
157,57,181
57,157,165
57,159,181
262,57,165
57,262,159
114,79,91
72,244,164
3,72,164
72,180,4
72,3,180
3,84,180
206,285,114
77,285,61
285,79,114
79,285,77
229,286,17
286,229,154
286,153,246
172,276,217
182,172,217
172,182,8
142,172,8
276,172,209
172,142,209
290,142,8
5,290,188
142,290,5
231,142,5
162,231,5
142,231,209
231,194,209
194,231,4
231,162,4
74,162,5
74,5,188
149,53,127
53,149,143
53,273,127
278,170,68
140,170,236
